country,x,y,size
Марокко,370,90,20
Алжир,450,120,20
Тунис,510,85,15
Ливия,575,135,20
Египет,680,140,20
Западная Сахара,300,170,20
Мавритания,340,190,20
Мали,400,220,20
Нигер,510,230,20
Чад,590,230,20
Судан,680,245,20
Эритрея,760,245,15
Сенегал,290,250,15
Гамбия,235,260,15
Гвинея-Бисау,245,320,15
Гвинея,320,290,13
Сьерра-Леоне,315,310,12
Либерия,335,330,10
Кот-д'Ивуар,375,320,14
Буркина-Фасо,410,275,14
Гана,410,310,12
Того,430,355,12
Бенин,445,290,11
Нигерия,490,295,14
Камерун,530,340,14
Экваториальная Гвинея,430,385,12
Габон,530,395,12
Конго,565,390,11
Центральноафриканская республика,600,330,15
Демократическая республика Конго,620,370,15
Ангола,570,490,13
Намибия,570,590,12
Ботсвана,640,590,12
Южно-Африканская Республика,620,660,14
Лесото,740,690,14
Свазиленд,765,645,12
Мадагаскар,830,585,12
Мозамбик,720,600,11
Зимбабве,690,555,14
Замбия,660,520,14
Малави,725,515,10
Танзания,740,460,14
Бурунди,710,435,11
Руанда,660,400,11
Уганда,715,370,12
Кения,760,380,13
Эфиопия,765,300,12
Сомали,800,375,10
